epoch,batch,iter,loss,prec1,prec5,lr
3,66,276,0.01866575,100,100,0.04
3,67,277,0.032420631,100,100,0.04
3,68,278,0.059674639,87.5,100,0.04
3,69,279,0.056513883,100,100,0.04
3,70,280,0.044539988,100,100,0.04
3,71,281,0.123318329,96.875,100,0.04
3,72,282,0.233392805,90.625,100,0.04
3,73,283,0.061167512,96.875,100,0.04
3,74,284,0.327249259,87.5,100,0.04
3,75,285,0.031749062,100,100,0.04
3,76,286,0.207432911,93.75,100,0.04
3,77,287,0.032908797,100,100,0.04
3,78,288,0.015270898,100,100,0.04
3,79,289,0.021130893,87.5,100,0.04
3,80,290,0.036269769,100,100,0.04
3,81,291,0.052654993,87.5,100,0.04
3,82,292,0.017265597,87.5,100,0.04
3,83,293,0.022049742,100,100,0.04
3,84,294,0.013512846,100,100,0.04
3,85,295,0.049077556,100,100,0.04
3,86,296,0.019355016,100,100,0.04
3,87,297,0.551120281,87.5,100,0.04
3,88,298,0.499471784,87.5,100,0.04
3,89,299,0.020138733,100,100,0.04
3,90,300,0.019711966,100,100,0.04
3,91,301,0.020672012,100,100,0.04
3,92,302,0.023093991,100,100,0.04
3,93,303,0.011393903,100,100,0.04
3,94,304,0.028148072,100,100,0.04
3,95,305,0.02246776,100,100,0.04
3,96,306,0.145879313,90.625,100,0.04
3,97,307,0.017267568,100,100,0.04
3,98,308,0.018587286,100,100,0.04
3,99,309,0.009286317,100,100,0.04
3,100,310,0.007921142,100,100,0.04
3,101,311,0.01535149,100,100,0.04
3,102,312,0.019084953,100,100,0.04
3,103,313,0.010617136,100,100,0.04
3,104,314,0.00686026,87.5,100,0.04
3,105,315,0.005110436,100,100,0.04
4,1,316,0.008653961,100,100,0.04
4,2,317,0.00651383,100,100,0.04
4,3,318,0.003629141,100,100,0.04
4,4,319,0.005169305,90.625,100,0.04
4,5,320,0.00438005,100,100,0.04
4,6,321,0.005309063,100,100,0.04
4,7,322,0.003058593,100,100,0.04
4,8,323,0.009672463,100,100,0.04
